country,age,men 1980 [%],men 2000  [%],men 2050 [%],women 1980 [%],women 2000 [%],women 2050 [%],men 1980,men 2000,men 2050,women 1980,women 2000,women 2050
AUSTRALIA,85+,0.371855776594904,0.815521311146345,4.7735233603365,0.970519603941448,1.81540330070878,6.63795076205814,27287,77518,669806,71404,175151,932574
AUSTRALIA,80 - 84,0.670545075946504,1.25160291630034,3.80773092906129,1.32733547759938,1.9693100646566,4.40502878293132,49205,118969,534289,97656,190000,618868
AUSTRALIA,75 - 79,1.39505536885771,2.31017730997479,4.78699999786198,2.06145029369486,2.98240608023446,5.21966314628135,102370,219590,671697,151667,287744,733317
AUSTRALIA,70 - 74,2.31818764087511,3.15177872290823,5.08278760434417,2.92179355023911,3.45813956790642,5.23093786979616,170110,299587,713201,214965,333643,734901
AUSTRALIA,65 - 69,3.34937299504229,3.49314505723157,5.764808087978,3.84426561062651,3.57669203379875,5.73333926490084,245779,332035,808900,282834,345081,805484
AUSTRALIA,60 - 64,3.84690231478075,4.21657068017937,6.00566289591632,4.19207002137742,4.11329793204823,5.89228154778322,282288,400799,842696,308423,396853,827814
AUSTRALIA,55 - 59,4.9858136891767,5.1570955288143,6.30486420381294,5.04236882680811,4.90755177549368,6.12633882893063,365862,490199,884679,370982,473483,860697
AUSTRALIA,50 - 54,5.40341725197123,6.67460186289147,6.27586555860342,5.13816489101431,6.45865293594591,6.0810477520842,396506,634443,880610,378030,623134,854334
AUSTRALIA,45 - 49,5.17995219444921,7.01838789201555,6.24114415298514,4.91240260008568,6.98719502772011,6.02885944854217,380108,667121,875738,361420,674128,847002
AUSTRALIA,40 - 44,5.65082596762632,7.57304506281791,6.2718745924404,5.37119887523895,7.55489529541154,6.05414927975942,414661,719843,880050,395175,728900,850555
AUSTRALIA,35 - 39,6.61381891126537,7.87289785069031,6.18367424023763,6.32304313976222,7.84014467588214,5.95569474967302,485326,748345,867674,465205,756421,836723
AUSTRALIA,30 - 34,8.17429947424796,7.45336485389094,6.04510219367731,7.89216581744163,7.44526691354905,5.81503830309717,599835,708467,848230,580650,718323,816962
AUSTRALIA,25 - 29,8.32035987713374,7.59818884792124,5.86141797602427,8.14641683575053,7.5352954778733,5.59515984091536,610553,722233,822456,599356,727009,786071
AUSTRALIA,20 - 24,8.77676116030668,6.89357372194614,5.67082796156415,8.49638236656511,6.59077291170474,5.36418460224391,644044,655257,795713,625104,635881,753621
AUSTRALIA,15 - 19,9.08312278722169,7.13025143469491,5.43863212485453,8.71287494753507,6.73091523477959,5.16441415390638,666525,677754,763132,641032,649402,725555
AUSTRALIA,10 - 14,8.86426385175373,7.20373651375213,5.28469485856657,8.45086292572706,6.76276623387796,5.02355840666234,650465,684739,741532,621755,652475,705766
AUSTRALIA,5 - 9,9.09286650695143,7.28603769821377,5.15593631273211,8.68994532773997,6.81299400531652,4.89174948617796,667240,692562,723465,639345,657321,687248
AUSTRALIA,0 - 4,7.90257915579867,6.90002273461072,5.04445294900329,7.50673888885264,6.45830053309224,4.7806037742564,579896,655870,707822,552293,623100,671633
AUSTRIA,85+,0.482285591900159,0.942417213953948,4.82131159034079,1.27892458839873,2.61334170041014,7.93863136409861,17204,36516,191868,50930,108110,332082
AUSTRIA,80 - 84,1.12503402546717,1.04348265950778,4.69262970146857,2.35848961843701,2.26517815854531,5.9319683852747,40132,40432,186747,93921,93707,248141
AUSTRIA,75 - 79,2.43730273288628,2.47478719090968,5.25356815202404,4.02129247471029,4.66652275681322,6.00588461132066,86943,95891,209070,160138,193047,251233
AUSTRIA,70 - 74,3.58274503031946,3.54529117868479,5.65700258394037,5.28864069878049,4.61878110610274,5.85922353538536,127803,137370,225125,210607,191072,245098
AUSTRIA,65 - 69,4.16589458174396,4.0186676859239,6.3377275145298,5.69137764260022,4.44741879628674,6.36881997478434,148605,155712,252215,226645,183983,266415
AUSTRIA,60 - 64,3.16521645523454,5.1527892230581,6.5942871875205,4.23481487359414,5.21902056371891,6.44974055213413,112909,199656,262425,168641,215903,269800
AUSTRIA,55 - 59,5.18557931318876,6.13487385014183,6.82363294025175,6.74126097494583,6.02552812539206,6.54459811518405,184979,237709,271552,268454,249267,273768
AUSTRIA,50 - 54,5.91332483549335,6.31808723062871,6.57948663439694,5.78660014484267,5.98322539691442,6.17948733885808,210939,244808,261836,230437,247517,258495
AUSTRIA,45 - 49,5.79695843861021,6.60231443999652,6.42482211066944,5.16536874110428,6.21078990313642,5.94222390305404,206788,255821,255681,205698,256931,248570
AUSTRIA,40 - 44,6.59274087858172,7.92287539967435,6.34280342578779,5.76490387850894,7.29596366703257,5.80306919677542,235175,306989,252417,229573,301823,242749
AUSTRIA,35 - 39,7.43702099781312,9.17496684273974,6.22723849571098,6.53918938329367,8.29474317288352,5.69556555236123,265292,355504,247818,260407,343141,238252
AUSTRIA,30 - 34,7.23649851241078,8.91685766986337,5.99354555165481,6.30133401904249,8.15541007177202,5.53028198609935,258139,345503,238518,250935,337377,231338
AUSTRIA,25 - 29,7.16086455943783,7.16109073256189,5.60325320680745,6.37342890404726,6.77095054714349,5.2092292966436,255441,277472,222986,253806,280104,217908
AUSTRIA,20 - 24,8.30899805756983,6.13709336707687,5.11101545614978,7.37705700191751,5.60066369355033,4.7186378377448,296397,237795,203397,293773,231691,197386
AUSTRIA,15 - 19,9.32862672233341,6.39827373199126,4.69823330647121,8.15011204715322,5.73707186314995,4.23715442610457,332769,247915,186970,324558,237334,177245
AUSTRIA,10 - 14,8.79411501687187,6.22806775307719,4.44421158910951,7.55411761987941,5.54625029823424,4.00610645562134,313702,241320,176861,300824,229440,167580
AUSTRIA,5 - 9,7.10984387952279,6.28376214314491,4.26959521617979,6.1064442933295,5.6017273050092,3.85552485540676,253621,243478,169912,243174,231735,161281
AUSTRIA,0 - 4,6.17695037061478,5.54430168706515,4.12563533698648,5.26664309541435,4.94741287390475,3.72385261314896,220343,214826,164183,209731,204667,155773
BELGIUM,85+,0.606555370453739,0.954446084281039,4.33069750619604,1.27983857348365,2.62845725700689,7.30712770575592,29237,47837,233850,64492,137711,405834
BELGIUM,80 - 84,1.18504119149325,1.24610511097628,3.97801927952083,2.19574116112229,2.25078747213571,4.97898161433662,57121,62455,214806,110645,117924,276530
BELGIUM,75 - 79,2.30282334440487,3.02610705430568,4.83195467703293,3.65128665530347,4.37079244232887,5.30399371834121,111000,151669,260917,183991,228996,294581
BELGIUM,70 - 74,3.33899011860578,4.00990260009094,5.33998984781538,4.6227550186314,4.94631561528186,5.4277795592936,160945,200977,288350,232944,259149,301456
BELGIUM,65 - 69,4.17887750846962,4.79250170141083,5.74772543470406,5.04243538444472,5.25836510802249,5.63399326641036,201429,240201,310367,254092,275498,312909
BELGIUM,60 - 64,3.74623716590909,5.0383109235264,6.08447721341977,4.0819809516552,5.14437895775966,5.84724701189983,180575,252521,328551,205694,269526,324753
BELGIUM,55 - 59,6.09443235404561,5.16486675923087,6.32133682900347,6.24583132651581,5.01997143475009,6.0469248266143,293762,258864,341341,314732,263008,335843
BELGIUM,50 - 54,6.30427972457403,6.86031192631629,6.16572061713875,6.23650421416796,6.46959201852638,5.8767755615961,303877,343840,332938,314262,338957,326393
BELGIUM,45 - 49,6.40713916729078,7.23383420287681,6.09245895652506,6.19840196798102,6.78969612536797,5.76932044904282,308835,362561,328982,312342,355728,320425
BELGIUM,40 - 44,6.10874720186217,7.85903160344428,6.05705038850348,5.80922324403715,7.37680496362731,5.73213968372403,294452,393896,327070,292731,386488,318360
BELGIUM,35 - 39,5.98024551001313,8.20841190283273,6.08599578171359,5.53798287899382,7.64730257272391,5.74739009932936,288258,411407,328633,279063,400660,319207
BELGIUM,30 - 34,7.79870834431151,7.6471408616531,6.12807123492752,7.07231270513446,7.09361465695456,5.77997953527464,375911,383276,330905,356379,371651,321017
BELGIUM,25 - 29,8.1294228211868,6.94442975752077,5.9935668261719,7.33323371183549,6.49156088305292,5.65885846588021,391852,348056,323642,369527,340108,314290
BELGIUM,20 - 24,8.39713122151293,6.36999036515638,5.66700056650005,7.68893405592656,5.97287809112517,5.35777529025754,404756,319265,306008,387451,312933,297568
BELGIUM,15 - 19,8.42424644773939,6.22388152314727,5.4041400986662,7.74975873538645,5.71104587255425,5.00951845597374,406063,311942,291814,390516,299215,278226
BELGIUM,10 - 14,7.67356752977592,6.2555653741797,5.30108116506782,7.07134030405989,5.69249353865346,4.87896265484708,369879,313530,286249,356330,298243,270975
BELGIUM,5 - 9,6.94490028359996,6.28491483568392,5.25865384846874,6.35537528430328,5.74381784509297,4.8443566350201,334756,315001,283958,320252,300932,269053
BELGIUM,0 - 4,6.37875842553271,5.88032722155571,5.21205972862444,5.82718289653672,5.39220149208863,4.79887546640254,307467,294723,281442,293636,282510,266527
CANADA,85+,0.517711919199695,0.804878214092275,4.09733437706704,1.01759999895979,1.83325614457481,6.03797195377302,63217,122315,838048,125218,284014,1262741
CANADA,80 - 84,0.759447851479566,1.21696743683122,3.49034270087755,1.27668499925398,2.00924651399967,4.10813103412991,92735,184939,713897,157099,311279,859147
CANADA,75 - 79,1.44469117411612,2.19948937628535,4.38850224751342,1.9875779627976,3.03339879585537,4.74149262695133,176409,334250,897602,244576,469944,991604
CANADA,70 - 74,2.24328455565524,3.01827191663669,5.32224006921458,2.77540570560741,3.52450648950367,5.44668400489066,273924,458678,1088584,341520,546028,1139083
CANADA,65 - 69,3.1594537478774,3.61692126894053,6.1038522857685,3.61865704560696,3.82038202787509,6.09661875942282,385796,549653,1248451,445284,591866,1275006
CANADA,60 - 64,3.692750174128,4.03994048974683,6.33026349093526,4.07752704785316,4.13104553383692,6.28011416641922,450916,613938,1294760,501749,639995,1313381
CANADA,55 - 59,4.63121921537781,5.08479171378487,6.60400157567219,4.9555766053258,5.0598538308485,6.48100039544157,565511,772721,1350749,609795,783889,1355393
CANADA,50 - 54,5.07091032602576,6.69961502849071,6.34550783086293,5.05327491697025,6.61598565741424,6.21033092290898,619201,1018121,1297878,621817,1024970,1298787
CANADA,45 - 49,5.2775708806393,7.5666975000969,6.16414516581593,5.06811413815331,7.51935555186197,6.01606726427594,644436,1149889,1260783,623643,1164923,1258160
CANADA,40 - 44,5.53890414627325,8.55200293695168,6.27794479896417,5.2960172700579,8.40056608675586,6.10360951603594,676347,1299623,1284059,651687,1301443,1276468
CANADA,35 - 39,6.69162535434689,8.90035467547612,6.42803163254315,6.37833772767152,8.59925801969685,6.21048393536563,817104,1352561,1314757,784869,1332225,1298819
CANADA,30 - 34,8.36193563999871,7.48895698404174,6.34538560235164,8.12344151607756,7.22212450358484,6.15918650927423,1021063,1138075,1297853,999608,1118875,1288091
CANADA,25 - 29,9.0627470908033,6.91987982398031,5.90695682150721,8.93338993800034,6.61027315138302,5.7297283598547,1106638,1051594,1208179,1099274,1024085,1198277
CANADA,20 - 24,10.0224267853699,6.97131201235741,5.52589232557979,9.75732428525502,6.52231346812051,5.24603685783182,1223823,1059410,1130238,1200661,1010458,1097121
CANADA,15 - 19,10.1039854326216,7.08937704867547,5.31775672742059,9.62130079995267,6.5732935501934,4.93621054131504,1233782,1077352,1087667,1183923,1018356,1032326
CANADA,10 - 14,8.27169618482587,6.93019126706973,5.19866704430388,7.80383752336812,6.47025543293211,4.80279802403539,1010044,1053161,1063309,960280,1002393,1004425
CANADA,5 - 9,7.62099592616236,6.86793436657897,5.12797496251618,7.1666286882291,6.41048390089932,4.74017289451273,930588,1043700,1048850,881870,993133,991328
CANADA,0 - 4,7.52864359509927,6.03241793996319,5.025200341086,7.08930383085953,5.64440134066385,4.65336223356108,919311,916729,1027829,872355,874449,973173
CZECH REPUBLIC,85+,0.304607487588901,0.669730279641696,4.13438872495289,0.842270135576277,1.67485369825439,6.21639309539707,15264,33482,191122,44773,88318,300536
CZECH REPUBLIC,80 - 84,0.809273286438202,0.790746592640688,3.681367258675,1.80348861205553,1.57519840506018,4.83809114850291,40553,39532,170180,95869,83063,233901
CZECH REPUBLIC,75 - 79,1.94332951709216,2.29746969891541,5.95017369572455,3.31823167855993,3.95839168683319,7.13179987804505,97381,114858,275061,176389,208733,344792
CZECH REPUBLIC,70 - 74,3.39408653574638,3.27310121404365,7.48582171738443,4.71577592111597,4.61975769066732,8.29759076915185,170079,163633,346050,250679,243608,401153
CZECH REPUBLIC,65 - 69,4.3352486380569,3.91192732780379,7.12612154828555,5.30604036718787,4.76100081601661,7.35068171494809,217241,195570,329422,282056,251056,355374
CZECH REPUBLIC,60 - 64,3.14114498011291,4.28903816234428,7.41882680376288,3.63481899930264,4.72618309607282,7.30681019953783,157404,214423,342953,193218,249220,353253
CZECH REPUBLIC,55 - 59,5.82735436702848,6.03425341736066,7.21831797122875,6.3830655788559,6.17965222862802,6.86602661000808,292011,301672,333684,339308,325864,331943
CZECH REPUBLIC,50 - 54,5.88309131100357,7.8906436587652,5.94537134802549,6.0466127752738,7.72048804733845,5.56189875753221,294804,394479,274839,321423,407115,268894
CZECH REPUBLIC,45 - 49,5.70097339094747,7.96273337645915,6.07988034799282,5.55360642226981,7.59932769182601,5.60692859678168,285678,398083,281057,295216,400726,271071
CZECH REPUBLIC,40 - 44,5.42450378055329,7.02484694936878,6.18635402085214,5.15328684383943,6.54872764559202,5.66850591944851,271824,351195,285979,273936,345326,274048
CZECH REPUBLIC,35 - 39,7.0246709315174,6.9416557351931,5.94106654085381,6.51059219643953,6.33731809116212,5.41400562448961,352009,347036,274640,346087,334178,261744
CZECH REPUBLIC,30 - 34,8.73742950314296,7.03226794971962,5.58093372781808,7.97815474120035,6.38882404288724,5.05943442356428,437836,351566,257992,424099,336894,244602
CZECH REPUBLIC,25 - 29,8.53074581937997,8.6385644784917,5.10476581091859,7.749400696383,7.85528344677222,4.61159746922789,427479,431870,235980,411939,414223,222951
CZECH REPUBLIC,20 - 24,7.28938649250186,8.88431760601329,4.63290270119079,6.58424121662538,8.08878594441264,4.21133452971638,365274,444156,214167,350002,426536,203600
CZECH REPUBLIC,15 - 19,7.01030265380094,7.06851283553023,4.45091102915393,6.28618372599329,6.39675095298337,4.03388345441954,351289,353378,205754,334158,337312,195021
CZECH REPUBLIC,10 - 14,7.03083731737071,6.60659056840862,4.43434076637249,6.30999973098825,5.97607476479549,4.01535027299211,352318,330285,204988,335424,315129,194125
CZECH REPUBLIC,5 - 9,8.64459446434163,6.03099297785341,4.386165864004,7.76187305918842,5.41825165360465,3.97073412082807,433184,301509,202761,412602,285714,191968
CZECH REPUBLIC,0 - 4,8.96841952337629,4.65260717144671,4.24229012280382,8.06235729914464,4.17513009709327,3.83893341540885,449411,232599,196110,428575,220162,185596
DENMARK,85+,0.748070404672237,1.06285889567757,2.6135933592883,1.41039042733778,2.58299927630766,4.75175889889904,18916,27997,65502.9048872097,36591,69635,125808.945905698
DENMARK,80 - 84,1.28642324981937,1.55171248712095,3.06760574364286,2.16825702246541,2.60877919297362,4.45350681996181,32529,40874,76881.5418600593,56253,70330,117912.33741532
DENMARK,75 - 79,2.29815327533903,2.62584648698883,4.11438930799909,3.36911826604193,3.67588227591781,5.2347732717586,58112,69168,103116.443326212,87408,99098,138597.374443358
DENMARK,70 - 74,3.51695121367661,3.33416599534873,4.72454827953096,4.43322278703108,3.96784446883542,5.39345338291443,88931,87826,118408.487490731,115015,106969,142798.635059788
DENMARK,65 - 69,4.47845659265716,3.92312884520914,4.76278904098496,5.05306068329024,4.27182492506205,5.03380909125099,113244,103340,119366.892497169,131096,115164,133276.588550723
DENMARK,60 - 64,4.92185717296933,4.84514384679221,5.69812586616038,5.21151809212809,4.91840007240633,5.62573589171105,124456,127627,142808.671945849,135207,132595,148948.614089828
DENMARK,55 - 59,5.4833054461313,6.38068396224624,6.92576920894946,5.67170369273987,6.1935971589419,6.63948679591186,138653,168075,173576.352324417,147146,166973,175788.976865389
DENMARK,50 - 54,5.32314023472706,7.6947840684676,7.23394758690022,5.34484433323003,7.3476842772554,6.84151260861774,134603,202690,181300.040061632,138666,198086,181137.87083982
DENMARK,45 - 49,5.36395270341081,7.03600668458029,6.9957910067617,5.27291985624355,6.73356585952653,6.60861965612648,135635,185337,175331.266165863,136800,181530,174971.729525583
DENMARK,40 - 44,5.96253557743909,7.21283980013075,6.43966120802311,5.6975672104558,6.81023792822945,6.07249349473831,150771,189995,161393.3223835,147817,183597,160777.097880375
DENMARK,35 - 39,7.53539750039448,7.82401118854784,6.06811969089571,7.02200287697908,7.31296484991823,5.7146060755226,190543,206094,152081.602726899,182178,197150,151301.566835466
DENMARK,30 - 34,8.37573097622871,8.04920956584395,6.10783789114728,7.76792060401143,7.4993221180186,5.7280098746139,211792,212026,153077.035885667,201530,202174,151656.449705302
DENMARK,25 - 29,7.57095022262964,7.36856531322391,6.40114919238664,7.02867111627097,7.02192999213249,5.97209232996559,191442,194097,160428.119098036,182351,189304,158118.847540551
DENMARK,20 - 24,7.52036965339853,6.5379280078903,6.46228081944549,6.99571536716945,6.21574192189093,5.81121671669481,190163,172217,161960.223982909,181496,167570,153859.458173759
DENMARK,15 - 19,7.99999525436411,5.44371141503697,6.0978281884106,7.44869310218826,5.11662723019463,5.47510995955745,202291,143394,152826.168778135,193248,137939,144960.598251167
DENMARK,10 - 14,7.90773218320211,5.81856117522271,5.65061183824364,7.32889606334904,5.39645987958739,5.07629178057676,199958,153268,141617.85668747,190140,145483,134401.37254693
DENMARK,5 - 9,7.35423285016169,6.65375407820898,5.35202417348944,6.86597378649608,6.17738734083684,4.81273228706663,185962,175268,134134.535177113,178130,166536,127423.295003974
DENMARK,0 - 4,6.35286412967608,6.63708818346303,5.28392759774022,5.90975598098665,6.14875123196472,4.75479106411194,160641,174829,132427.87200834,153322,165764,125889.226390748
GERMANY,85+,0.496353022287802,0.971661254979419,4.92303140775348,1.21403326995246,2.93208386420707,8.07597869282894,184878,389866,1801148,498255,1234051,3126952
GERMANY,80 - 84,1.10704459493418,1.00933230059256,4.91829737679199,2.32687821732339,2.33284913973268,6.18258329962695,412344,404981,1799416,954981,981846,2393845
GERMANY,75 - 79,2.46527531674796,2.35501482492098,4.88397565232118,4.02667342603719,4.52371192749033,5.57093797281972,918248,944918,1786859,1652599,1903933,2157021
GERMANY,70 - 74,3.58935471261257,3.78464284434314,5.54490869319781,5.54785585845399,4.89350275167312,5.91561219118044,1336937,1518537,2028669,2276912,2059570,2290476
GERMANY,65 - 69,4.05935681746426,4.79191152430933,6.47067140722104,6.01189090101124,5.1374448985845,6.51097101226677,1512000,1922690,2367370,2467358,2162240,2520994
GERMANY,60 - 64,3.02971384756149,6.86214919508577,7.16329676276194,4.28535677125409,6.82069798389312,6.95665979005594,1128486,2753345,2620775,1758766,2870685,2693561
GERMANY,55 - 59,4.80937131516717,6.40985240277468,6.74502380777517,6.41254100717139,6.1264833497783,6.44692005415095,1791360,2571867,2467745,2631790,2578505,2496194
GERMANY,50 - 54,6.05339503985257,6.02218332358264,6.69045672110356,5.97425807473872,5.65573226742313,6.30911751700469,2254725,2416320,2447781,2451913,2380376,2442838
GERMANY,45 - 49,6.63479319832213,7.13699704418745,6.36607720236919,5.82039597822652,6.69771949375981,5.95530312361285,2471280,2863624,2329103,2388766,2818926,2305844
GERMANY,40 - 44,8.48814732243536,8.03948214686529,6.19135811394457,7.34599347579098,7.31971138082422,5.7551619584004,3161604,3225734,2265180,3014891,3080709,2228351
GERMANY,35 - 39,7.49183296068867,9.21762509466361,6.19705972398249,6.47041685841459,8.28019051960081,5.72164109608648,2790504,3698448,2267266,2655543,3484954,2215372
GERMANY,30 - 34,6.72517563698611,8.76896954599399,6.09849512207582,5.77243209443405,7.85338086185827,5.58968062616837,2504945,3518431,2231205,2369081,3305319,2164278
GERMANY,25 - 29,7.69081124849922,6.47638672190723,5.71447829297841,6.67297380977019,5.88731217618919,5.20327255973533,2864618,2598563,2090708,2738675,2477843,2014664
GERMANY,20 - 24,8.28931938117361,5.82459414090252,5.06857279380286,7.05625848033019,5.34188870858876,4.58296744008285,3087546,2337040,1854396,2895980,2248286,1774487
GERMANY,15 - 19,9.17058641597454,5.90956396942312,4.55317567242714,7.86287285219081,5.34984587475226,4.08274495339789,3415794,2371133,1665832,3227025,2251635,1580805
GERMANY,10 - 14,8.38694798653754,6.04952131229125,4.28582592044308,7.23773909971705,5.46862362741854,3.82479005038615,3123910,2427289,1568019,2970462,2301626,1480927
GERMANY,5 - 9,5.98849365644955,5.322419039901,4.15813008182302,5.19721391845877,4.81593404347972,3.71448551933098,2230551,2135549,1521300,2133004,2026923,1438218
GERMANY,0 - 4,5.52403558058468,5.047693313276,4.02716524722725,4.76422808957524,4.56288713074615,3.60117214286432,2057553,2025319,1473385,1955301,1920421,1394344
FINLAND,85+,0.298639353924634,0.739732339370371,4.13200032239175,0.807097761513852,2.22786577485118,6.76923354996718,6901,18687,108173,19925,59039,179766
FINLAND,80 - 84,0.724333503259025,1.13364663856631,4.27081212544401,1.64805919824103,2.55574947406157,5.2414622050562,16738,28638,111807,40686,67728,139194
FINLAND,75 - 79,1.57135104772604,2.26076168640131,4.79103170325597,2.9495828205849,3.95075518155489,5.20245079045184,36311,57111,125426,72817,104696,138158
FINLAND,70 - 74,2.74955059126351,3.476152172605,5.72623516339035,4.37007488084928,4.60859803209404,5.83356209235237,63537,87814,149909,107885,122129,154918
FINLAND,65 - 69,3.59423129685037,4.10607461689251,6.14267057254712,5.04823953446358,4.62701295270799,6.03720468905154,83056,103727,160811,124627,122617,160326
FINLAND,60 - 64,3.77351876871094,4.89315109271534,6.13667347483683,4.94575735947587,5.07380119055481,5.92645896477412,87199,123610,160654,122097,134457,157385
FINLAND,55 - 59,4.9721440150527,5.82978120358612,6.44229626961423,5.80174681474868,5.65534287412383,6.19581094224993,114897,147271,168655,143229,149868,164538
FINLAND,50 - 54,5.87831820302283,8.50884179458028,6.02926048909579,5.84298272547496,7.95871737059084,5.74379065179564,135837,214949,157842,144247,210908,152534
FINLAND,45 - 49,5.82868201421664,8.0423278747708,5.91180140973814,5.46278600830713,7.50079716229092,5.58469487312441,134690,203164,154767,134861,198773,148309
FINLAND,40 - 44,6.26908959353717,7.72410085726139,5.99919860439515,5.764966650761,7.1414797973604,5.65081846776268,144867,195125,157055,142321,189251,150065
FINLAND,35 - 39,7.0340581284344,7.66207053801307,6.00607425782096,6.2918384492057,7.02766955028726,5.64076436766677,162544,193558,157235,155328,186235,149798
FINLAND,30 - 34,9.85657002251155,7.10874583957463,5.95618757240923,8.66991099038288,6.51495740606221,5.58823451885106,227767,179580,155929,214036,172648,148403
